id_cliente;nombre;apellido;telefono;direccion
;Gallagher;Mirfield;447 780 0358;4043 Northport Hill
;Corine;Ioannou;398 248 7161;5176 Vernon Circle
;Corine;Griston;454 780 7156;14537 Kinsman Way
;Garrard;Pigny;779 249 8371;9 Susan Avenue
;Gordy;Matiewe;205 461 5328;691 Northfield Court
;Tyler;Empringham;853 294 1984;38 Steensland Terrace
;Sheilakathryn;Duffit;326 380 7838;9520 Di Loreto Court
;Raimondo;McCrie;224 422 7035;87883 Miller Court
;Ariadne;Benfield;643 884 8812;2 Ohio Place
;Wynny;Ricold;253 976 1601;91 Merchant Terrace
;Julissa;Andrejevic;571 456 8091;0122 Lakewood Hill
;Dorrie;Yurin;635 166 2129;2 International Plaza
;Nigel;Samworth;643 774 6631;498 Clarendon Street
;Ginevra;Atwell;869 311 3260;7388 Express Drive
;Ansell;Bohling;105 927 4560;451 Mockingbird Plaza
;Anestassia;Kingsnod;165 930 0478;2039 Oakridge Crossing
;Magdaia;Reynalds;394 987 6676;27985 Wayridge Court
;Arliene;Iacovaccio;632 894 2412;19984 Tennyson Way
;Robinette;Godsafe;388 664 8748;27 Menomonie Circle
;Lisha;Siebart;142 981 7404;5 Fairfield Avenue
;Andie;Andrzejowski;343 682 6684;03352 Waywood Park
;Eleonore;Reschke;607 905 8517;2 Farragut Plaza
;Merwyn;Wortman;428 788 9912;6711 Norway Maple Park
;Rubina;Marchment;589 763 8869;08058 Fieldstone Park
;Beatriz;Palleske;994 897 8913;26864 Briar Crest Point
;Livia;Gonsalvo;330 313 6897;3 8th Place
;Camala;Litherborough;850 680 7389;7 Gerald Circle
;Winnifred;Rosita;304 913 0509;45939 Tennyson Point
;Aurore;Armatidge;687 328 7497;7483 Thompson Center
;Veronika;Crates;223 552 3231;797 Jenifer Court
;Debra;Couchman;619 530 2750;9382 Miller Parkway
;Pepi;Basili;792 924 8595;27391 Dayton Circle
;Violette;Forrestall;744 619 7624;71678 Kropf Street
;Zia;McHardy;108 500 5327;1131 Russell Circle
;Sandra;Morfey;100 755 2109;53792 Forest Run Park
;Adore;Symmers;768 190 8237;7439 Corben Court
;Alecia;MacCosty;291 196 2360;70 Upham Center
;Georg;Fagence;393 982 4524;0046 International Plaza
;Salli;O'Doohaine;940 124 1278;8865 Maryland Drive
;Arnie;Carren;761 329 9670;6 Arkansas Alley
;Ahmed;Farney;854 427 9046;7734 Fairfield Lane
;Maressa;Trimnell;964 302 4299;9 School Pass
;Anne;Sowley;186 970 6968;5 Meadow Ridge Way
;Odessa;Danzey;796 175 8326;7965 Old Gate Avenue
;Madonna;Smedmoor;869 277 6411;48837 Ilene Plaza
;Cristabel;Hallsworth;612 649 9219;5999 Hoard Parkway
;Neil;Blazejewski;554 537 7066;913 Upham Plaza
;Jackie;Arni;427 694 7264;12 Spaight Terrace
;Hildegarde;Eagar;333 310 4684;03843 Di Loreto Lane
;Hieronymus;Lacasa;206 324 0532;9314 School Trail
;Siusan;Rahlof;533 646 4704;307 Memorial Lane
;Fawn;Jerwood;763 772 7554;94 Hovde Place
;Sonia;Edlington;784 543 0548;5 Monterey Court
;Andriana;Bousler;286 609 5381;61221 Spenser Road
;Glenden;McElvogue;438 608 6119;4583 Norway Maple Lane
;Neil;Cham;397 801 2976;7950 Bay Plaza
;Ariel;Zannotelli;138 581 3625;506 Oriole Park
;Baily;Rosa;653 286 5858;24 Golf Place
;Joletta;Farrimond;330 622 2843;164 South Street
;Rod;Jatczak;827 694 3035;037 Artisan Road
;Kile;Absolem;199 128 8143;3 Ridge Oak Circle
;Della;Bloxland;867 315 3553;6192 Truax Center
;Merlina;Bimson;141 968 3808;6 Express Place
;Hailee;Colquitt;941 783 1301;2380 Fremont Plaza
;Salomo;Lohden;360 205 0653;3 Golden Leaf Hill
;Nathan;Wodeland;156 874 2502;75028 Melrose Terrace
;Leora;Treven;799 824 1267;0009 Derek Avenue
;Catlaina;Habin;741 990 0150;05464 Sachtjen Junction
;Fielding;Bare;985 455 2507;57 Melvin Drive
;Gram;Downing;827 154 3704;38 Ramsey Plaza
;Rebbecca;Folger;160 534 6348;69 Briar Crest Lane
;Cortney;Celand;453 298 6113;829 Moulton Point
;Idalia;Di Franceschi;399 464 2975;200 Caliangt Avenue
;Dolorita;Jerratsch;924 532 2371;48 Clemons Lane
;Liza;Jerche;807 194 9722;40 Anniversary Center
;Jeniece;Rosenqvist;558 129 2708;244 Prentice Parkway
;Creigh;Sawart;605 532 2610;0479 Onsgard Place
;Dyanna;Wisbey;516 474 2444;093 Tony Park
;Daphene;Roser;686 915 9089;67 Jenifer Crossing
;Stevena;Dainter;891 237 8151;22 Huxley Circle
;Grethel;Romeo;380 525 6655;90 Susan Place
;Marna;Fonzone;939 918 7841;14 Old Shore Road
;Peyter;Yitshak;869 710 2212;1313 La Follette Center
;Ceil;Argont;592 159 8628;548 Orin Point
;Berry;Normand;826 274 2261;5 North Circle
;Christophorus;Labrow;221 780 2306;80936 Esch Court
;Gamaliel;Braden;421 644 1091;728 Northport Street
;Lenka;Gautrey;423 171 2833;1 Bowman Circle
;Horatia;De Bruyn;647 595 9559;72 Montana Trail
;Elmore;Danilevich;208 106 3265;74 Di Loreto Terrace
;Hubey;Collcott;229 401 0492;3 Calypso Circle
;Aldric;McCarle;393 982 9713;749 Twin Pines Pass
;Thomasa;Epinoy;279 337 4627;69 Lighthouse Bay Junction
;Ann;Cuming;410 445 2157;59 Drewry Center
;Andros;Burree;697 419 9225;979 Bowman Center
;Selina;Hymer;378 434 2375;8080 Lawn Pass
;Norrie;Wadham;587 735 7328;40 Sauthoff Street
;Vaughn;Hentzeler;697 136 8244;6588 Pleasure Road
;Hyacinthe;McIlwrick;387 891 6107;946 Spaight Parkway
;Rudie;Thoumasson;267 941 5223;5 Longview Terrace
;Durand;Hockey;206 749 0808;8 Fisk Junction
;Yasmin;Bonnavant;207 426 8168;372 Troy Junction
;Doralyn;Mathwin;174 337 1323;0 Crowley Center
;Staci;Allabush;844 969 5033;90184 Lawn Park
;Cody;Flood;112 533 0822;245 Lerdahl Park
;Kevyn;Littlefield;678 665 8864;028 Division Plaza
;Stepha;Slafford;320 621 5701;01 Vernon Alley
;Simon;Zoren;964 600 5927;12566 Brown Parkway
;Xena;Whitley;586 725 1814;8753 Coolidge Terrace
;Isidro;Kinnaird;472 669 0319;795 Little Fleur Junction
;Ody;Ceeley;966 183 8503;35836 Rieder Lane
;Avictor;Kitchingham;190 856 8411;7304 Scofield Drive
;Jason;Krelle;517 673 3209;64517 Warbler Circle
;Julio;Kneaphsey;386 373 4319;62 Randy Way
;Pauli;McCreedy;189 211 9325;486 Westridge Crossing
;Rabbi;Goodson;809 920 4145;121 Blue Bill Park Hill
;Rozele;Compson;795 374 4178;41949 Corry Road
;Bowie;Kingswood;494 670 3146;58 Bunting Way
;Earvin;Burniston;625 539 1859;09474 Mayfield Drive
;Wolfy;Bratty;382 977 7109;51 Independence Point
;Amii;Hallward;195 699 8572;5 Ronald Regan Center
;Maude;Hurran;896 312 2821;5 2nd Trail
;Collen;Brandon;920 795 8885;68 Armistice Parkway
;Margaret;Stanbridge;994 216 3582;02 Loomis Court
;Marie-jeanne;Cerie;875 180 8215;915 American Lane
;Renell;Gull;178 375 2191;27951 Hanover Crossing
;Fan;Laflin;448 584 9179;98 Redwing Avenue
;Fredericka;MacQueen;306 735 9574;8076 Claremont Pass
;Salomone;Hallatt;731 593 3388;3 Macpherson Parkway
;Robby;Mc Ilory;739 819 8912;5598 Autumn Leaf Place
;Merissa;Oughtright;668 514 5500;0229 Hoepker Place
;Boyd;Zini;447 814 9900;9471 Prairieview Way
;Hurlee;McMurray;151 631 9184;8 Sundown Center
;Ciro;Harbin;841 143 4881;653 Golf Course Street
;Biddy;Keynes;418 568 0149;289 Hagan Crossing
;Eal;Dron;957 631 6555;8 Johnson Avenue
;Roslyn;Vallantine;864 421 2271;51 Calypso Crossing
;Astrix;Schulze;791 104 1426;8 West Point
;Dalenna;Rodnight;141 147 3011;21829 Derek Point
;Delphinia;Reddyhoff;239 479 4591;8960 Paget Parkway
;Raine;Spiller;713 229 1113;14 Walton Point
;Chrysa;Rosenvasser;618 980 2944;9 Hanover Terrace
;Cort;Elliker;430 208 3658;591 Northfield Crossing
;Ilysa;MacShirie;499 139 2457;688 Thompson Street
;Tiphanie;Armiger;787 669 4130;1496 Talisman Center
;Keen;Inchan;604 477 1035;94 Lakewood Gardens Avenue
;Ruthann;Dennert;244 195 2665;37 Helena Crossing
;Juline;Ofield;896 805 2333;6 Chive Way
;Wylie;Deller;256 120 9362;78 Welch Plaza
;Maurie;O'Canavan;368 856 4659;56 Clyde Gallagher Point
;Kathye;Jelks;897 861 6820;40166 Delaware Road
;Jephthah;Crier;407 394 3486;646 Kedzie Trail
;Benton;Jentin;868 278 2867;60089 Merry Road
;Erroll;Fulham;214 751 4050;682 Kingsford Court
;Lauren;Bock;148 939 9745;39 Lyons Terrace
;Remus;Greggor;904 463 2253;1 Monica Way
;Robinson;Swenson;773 210 4996;25887 Manley Circle
;Thorny;Dunne;374 355 9365;14337 Florence Park
;Shaina;Antrag;447 740 7030;2 Autumn Leaf Avenue
;Patrick;Taphouse;313 439 4518;33 Russell Alley
;Filide;Bossons;502 668 7739;13841 Kenwood Circle
;Sabra;Cuardall;675 794 2351;2252 Rieder Alley
;Aeriel;Gianelli;964 767 7332;28301 Toban Road
;Francisco;Klassmann;159 175 7337;45 Maple Wood Court
;Bridgette;Rodda;369 516 6595;75356 Buena Vista Trail
;Grantham;Suatt;202 577 7661;5 Grayhawk Pass
;Jason;Axtell;968 614 2731;61 North Pass
;Brit;Scothron;755 862 0654;5072 Kingsford Place
;Amie;Noweak;340 193 8518;5 Paget Junction
;Margie;Orts;610 879 9202;28612 Carberry Parkway
;Charlotta;Bunton;991 378 6451;39535 Wayridge Trail
;Gilda;McInnes;200 553 7602;05 Muir Terrace
;Mattie;King;133 671 4078;47 Rutledge Plaza
;Maressa;Kenway;842 877 7244;6123 Dennis Hill
;Basilius;Pretswell;422 399 7235;0192 Express Park
;Fee;de Quesne;535 286 0108;7 Armistice Center
;Tris;Ennever;771 652 6664;11122 Kenwood Street
;Kippar;Steel;988 857 4467;71943 Stang Center
;Gerta;Leonida;288 594 6985;33 Mandrake Park
;Abrahan;Anear;497 996 0074;8722 Buell Road
;Audre;Mac;987 445 0165;28 Montana Point
;Georgena;Cauley;974 773 1462;89286 Farragut Pass
;Emmy;Bolin;829 919 3205;864 West Lane
;Lulita;Schachter;539 610 9710;3534 Drewry Road
;Mallissa;Sonner;514 749 1019;881 Monica Alley
;Kayne;Rioch;256 644 1808;9 Linden Crossing
;Nessa;Romanski;155 668 2059;6150 Golden Leaf Parkway
;Natty;Blucher;612 519 8411;54851 Eliot Avenue
;Derk;Springer;830 739 5863;54664 Buena Vista Point
;Barby;Joselin;476 549 2637;15 Butterfield Hill
;Lucille;Tallent;269 556 2561;909 Bartillon Place
;Mohandas;Bernetti;809 322 8615;39 Hauk Plaza
;Andeee;Belmont;933 863 4568;17 Washington Drive
;Colby;Deinhardt;389 424 3901;0 Maywood Park
;Maria;Dewes;219 484 0226;958 Cascade Lane
;Hillary;Speight;726 686 4382;925 Derek Lane
;Horatia;Dugan;337 118 2885;12 Ohio Drive
;Averil;Iacopini;118 436 2875;0 International Alley
;Sully;Fiddyment;689 470 6734;776 Center Drive
;Doloritas;Bowich;675 379 7453;7 Carpenter Pass
;Amberly;Peschet;945 871 1132;89592 Carpenter Park
;Krispin;Shattock;889 250 2283;62 Arkansas Point
;Ellsworth;Elland;560 639 9822;30 Melrose Street
;Care;Deinhard;185 641 1693;35115 Golf View Avenue
;Arda;Uphill;711 593 4981;6463 Delaware Avenue
;Morgan;Try;859 644 1151;9167 Merchant Place
;Gwendolin;Slayford;854 732 9953;03 Acker Parkway
;Quent;Spiers;605 174 5327;600 Elmside Alley
;Audie;Jozwik;925 108 4571;17516 Del Sol Place
;Jocelyn;Sneesbie;940 186 1173;265 Pennsylvania Hill
;Demetre;Justice;338 460 7812;60866 Moose Point
;Kendricks;Galley;753 440 0007;929 Gale Way
;Camey;Foottit;819 996 2750;8786 Pierstorff Center
;Terrel;Tolotti;882 441 3683;53 Debs Hill
;Berk;Gleave;820 405 4055;757 Pearson Crossing
;Levin;Coopman;937 903 7078;67096 Sycamore Junction
;Urbano;Karpe;355 561 8445;1525 Prairie Rose Trail
;Ulises;Arkle;581 735 5719;87546 Ryan Crossing
;Didi;Jobbins;404 917 7259;7 Lakewood Lane
;Ruben;Hamblett;697 591 5822;7788 Prentice Court
;Flossy;Yerrall;471 318 4850;452 Everett Circle
;Niles;Nagle;458 201 6670;3172 Mandrake Circle
;Marci;Bernardt;441 304 6264;94 Warner Alley
;Elbert;Brigstock;257 947 3172;15 Memorial Parkway
;Base;Josephson;622 413 3754;2768 Duke Hill
;Pepillo;Ioselevich;935 492 4792;55043 Crownhardt Terrace
;Zak;Hilland;130 622 4597;111 Eagle Crest Parkway
;Jessee;Alchin;263 227 5153;6539 Hagan Junction
;Ketti;Heugh;231 566 0055;59219 Westridge Trail
;Orelee;Bleue;147 610 4087;5823 Ridge Oak Lane
;Clyve;Grimble;589 673 2477;19478 Hintze Lane
;Val;Dando;842 953 6262;43868 Hazelcrest Center
;Renado;Jurick;462 219 3981;9040 Colorado Center
;Albrecht;Pedroni;524 817 9762;9681 Arkansas Circle
;Belvia;Ewenson;881 814 7152;5965 Schiller Junction
;Valentina;Panichelli;298 203 6743;8 Manley Court
;Adelind;Pitkeathly;622 476 4238;1 Nobel Court
;Faydra;Kummerlowe;600 880 7098;25936 Bowman Junction
;Anestassia;McFie;991 568 0926;4924 Mosinee Lane
;Shane;Lamblot;572 516 4327;4 New Castle Point
;Delora;Camplejohn;245 725 7602;0655 Leroy Lane
;Madelene;Bilbrooke;360 100 8926;6 Rieder Place
;Sile;Bunny;350 956 7582;241 Knutson Way
;Ethe;Orpen;782 470 3175;85 Harper Way
;Jessalyn;Bleazard;137 958 2831;30 Atwood Trail
;Baxy;Robert;242 101 1874;92052 Havey Avenue
;Libbie;Gaffer;270 323 6160;64 Oak Valley Parkway
;Marsiella;Burr;467 145 0283;9153 Sunfield Street
;Judi;Wipper;214 984 1030;495 Dwight Trail
;Nataline;Bendik;567 824 4576;05 Lawn Point
;Aleda;Got;696 172 0632;1695 Lillian Way
;Isaiah;Fronks;475 881 5350;290 Weeping Birch Pass
;Roman;Bavin;548 634 6065;6010 Acker Park
;Arabelle;Keable;805 105 6902;881 Riverside Terrace
;Ophelie;Chivers;539 871 8161;07242 Village Green Avenue
;Reggie;Newcome;857 450 8769;9 Dovetail Place
;Jeanna;Heers;522 485 7353;1 Hauk Terrace
;Benyamin;Dowson;894 806 4908;23354 Bowman Drive
;Serge;Crebbin;709 532 1208;799 Debra Pass
;Tierney;Giurio;873 511 7117;92183 Haas Plaza
;Sharia;Cutbirth;609 717 1210;6462 Trailsway Avenue
;Lida;Somerled;921 232 6301;64 Golden Leaf Junction
;Neron;Fernez;206 340 7739;8 Schurz Plaza
;Valencia;Scotson;468 969 4671;07 Tomscot Center
;Minni;Gianninotti;481 878 1149;18 Utah Junction
;Alysia;McConnachie;956 574 8720;444 Schmedeman Road
;Belva;Bleackly;823 620 9745;5 Anhalt Way
;Gothart;Avrashin;703 258 2100;079 Di Loreto Drive
;Reamonn;Reyburn;432 425 5675;008 Waubesa Junction
;Hana;Mintoft;824 980 9581;0 Buhler Park
;Sutherland;Grove;222 860 3097;910 Anniversary Hill
;Zacharias;Greville;822 791 7848;680 Merrick Park
;Mason;Dales;419 831 3527;964 Manitowish Drive
;Claudette;Gerrans;717 848 5627;2304 Monument Lane
;Hannis;Conboy;664 829 5420;2 Golf Circle
;Valida;Elward;939 530 5745;24 Valley Edge Road
;Marcia;Huntress;311 221 4255;38 Merrick Lane
;Titos;Oiller;810 274 2601;9 Golden Leaf Avenue
;Enrichetta;Howick;477 531 6425;2 Westridge Junction
;Kata;Lawlance;824 931 3187;24774 Emmet Road
;Cazzie;Sibbson;506 580 0695;00223 Rutledge Crossing
;Riki;Dun;856 539 1585;43 Pennsylvania Park
;Josefina;Claisse;812 352 2749;39796 Blaine Avenue
;Harriot;Fishby;498 910 5793;275 Longview Street
;Georgia;Tallis;771 256 6574;229 Emmet Circle
